"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2017","Zona Interior","la Vall de Gallinera","734","260","425","8","38","","3","","",""
"2017","Zona Interior","la Vall de Laguar","931","253","366","8","199","","44","6","","55"
"2017","Zona Intermedia","el Verger","898","454","261","12","39","4","90","","","38"
"2017","Zona Costa","els Poblets","1177","525","468","6","37","","120","21","",""
"2016","-","Comunitat Valenciana","876","339","315","18","74","8","48","7","3","64"
"2016","-","Provincia de Alicante","870","341","335","14","68","6","34","3","2","67"
"2016","-","La Marina Alta","959","321","330","11","122","3","35","8","1","35"
"2016","-","Zona Costa","1369","450","430","17","95","4","60","10","","80"
"2016","-","Zona Intermedia","977","398","294","10","156","5","58","8","","48"
"2016","-","Zona Interior","814","244","312","9","115","1","16","7","1","14"
"2016","Zona Interior","l'Atzúbia","718","181","420","3","25","","48","","","41"
"2016","Zona Interior","Alcalalí","631","164","277","1","151","2","17","2","","17"
"2016","Zona Interior","Beniarbeig","731","323","300","3","59","","","","3","43"
"2016","Zona Interior","Benigembla","955","0","0","0","0","0","0","0","0","0"
"2016","Zona Interior","Benidoleig","847","332","450","3","45","","7","10","",""
"2016","Zona Interior","Benimeli","775","310","251","3","210","","","","",""
"2016","Zona Intermedia","Benissa","1365","554","391","","366","","44","9","",""
"2016","Zona Costa","Poble Nou de Benitatxell","1340","0","0","0","0","0","0","0","0","0"
"2016","Zona Costa","Calp","1766","722","664","31","53","8","66","5","1","217"
"2016","Zona Interior","Castell de Castells","647","260","231","1","116","3","4","20","","10"
"2016","Zona Costa","Dénia","1192","433","488","25","86","16","48","9","","88"
"2016","Zona Intermedia","Gata de Gorgos","843","339","238","9","152","2","42","22","","38"
"2016","Zona Intermedia","Xaló","801","347","289","1","119","","34","11","",""
"2016","Zona Costa","Xàbia/Jávea","1348","502","579","33","56","","27","20","","131"
"2016","Zona Intermedia","Llíber","967","365","377","21","166","","","","","38"
"2016","Zona Interior","Murla","905","231","467","","174","","21","","12",""
"2016","Zona Intermedia","Ondara","850","334","201","6","202","","23","","1","82"
"2016","Zona Interior","Orba","789","303","281","23","106","7","37","","","31"
"2016","Zona Interior","Parcent","604","175","291","1","101","","28","8","",""
"2016","Zona Intermedia","Pedreguer","1134","345","325","8","122","5","245","9","","76"
"2016","Zona Intermedia","Pego","965","457","270","20","82","","","10","","126"
"2016","Zona Interior","el Ràfol d'Almúnia","912","290","402","2","187","","9","","","23"
"2016","Zona Interior","Sagra","724","216","312","1","164","","31","","",""
"2016","Zona Interior","Sanet y Negrals","727","256","275","7","147","","","25","","17"
"2016","Zona Intermedia","Senija","0","0","0","0","0","0","0","0","0","0"
"2016","Zona Costa","Teulada","1509","556","443","8","352","","105","1","","45"
"2016","Zona Interior","Tormos","1118","325","464","100","157","","21","20","","31"
"2016","Zona Interior","la Vall d'Alcalà","983","476","371","","102","5","6","20","","4"
"2016","Zona Interior","la Vall d'Ebo","945","290","499","5","129","","8","13","",""
"2016","Zona Interior","la Vall de Gallinera","749","0","0","0","0","0","0","0","0","0"
"2016","Zona Interior","la Vall de Laguar","895","258","328","12","203","","50","12","","31"
"2016","Zona Intermedia","el Verger","893","446","262","13","38","30","78","1","","25"
"2016","Zona Costa","els Poblets","1057","486","405","5","24","2","113","23","",""
