"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2023","-","Zona Costa","1565","600","580","9","214","","150","5","","8"
"2023","-","Zona Intermedia","1050","451","394","3","157","1","29","2","","12"
"2023","-","Zona Interior","947","326","424","3","152","5","26","5","","5"
"2023","Zona Interior","l'Atzúbia","1021","300","546","2","55","3","115","","",""
"2023","Zona Interior","Alcalalí","670","215","268","1","184","1","","","",""
"2023","Zona Interior","Beniarbeig","750","362","285","","87","","3","","3","10"
"2023","Zona Interior","Benigembla","773","188","425","1","99","","61","","",""
"2023","Zona Interior","Benidoleig","879","378","393","3","99","","5","2","",""
"2023","Zona Interior","Benimeli","838","322","329","3","177","6","","","",""
"2023","Zona Intermedia","Benissa","1258","564","338","","355","","","","","1"
"2023","Zona Costa","Poble Nou de Benitatxell","1406","477","571","13","338","","5","","","3"
"2023","Zona Costa","Calp","1601","727","591","7","138","","135","2","1",""
"2023","Zona Interior","Castell de Castells","807","310","288","3","162","9","30","6","",""
"2023","Zona Costa","Dénia","1560","573","615","20","169","","140","","","43"
"2023","Zona Intermedia","Gata de Gorgos","761","352","343","","61","4","","","",""
"2023","Zona Intermedia","Xaló","915","417","301","2","136","","48","7","","4"
"2023","Zona Costa","Xàbia/Jávea","1321","543","630","5","100","","43","","",""
"2023","Zona Intermedia","Llíber","1194","443","440","10","248","","15","","","38"
"2023","Zona Interior","Murla","1069","257","627","4","177","","3","","",""
"2023","Zona Intermedia","Ondara","1071","388","550","1","93","","36","","1","1"
"2023","Zona Interior","Orba","873","343","309","3","141","4","35","","","38"
"2023","Zona Interior","Parcent","859","352","354","1","122","","22","8","",""
"2023","Zona Intermedia","Pedreguer","1104","470","385","2","118","","118","6","","5"
"2023","Zona Intermedia","Pego","1078","528","348","6","130","","","4","","62"
"2023","Zona Interior","el Ràfol d'Almúnia","920","219","470","2","201","18","10","","",""
"2023","Zona Interior","Sagra","813","300","342","","171","","","","",""
"2023","Zona Interior","Sanet y Negrals","864","268","412","4","177","","","2","",""
"2023","Zona Intermedia","Senija","1063","383","461","5","185","","29","","",""
"2023","Zona Costa","Teulada","1643","633","501","4","446","1","59","","",""
"2023","Zona Interior","Tormos","1419","467","563","1","284","16","72","16","",""
