Mes,P. analizado,P. comparativo,% variación
Ene,"5703982,3 €","5746588,1 €","-0,7 %"
Feb,"5178532,7 €","5145674,6 €","0,6 %"
Mar,"6399571,9 €","6625563,2 €","-3,4 %"
Abr,"7011004,0 €","6223309,4 €","12,7 %"
May,"6886211,6 €","7254534,6 €","-5,1 %"
Jun,"9452916,6 €","8249762,8 €","14,6 %"
Jul,"16315044,4 €","15395144,1 €","6,0 %"
Ago,"16022983,0 €","18290382,9 €","-12,4 %"
Sep,"6935859,4 €","8405352,1 €","-17,5 %"
Oct,"3407680,2 €","6470982,9 €","-47,3 %"
