Mes,P. analizado,P. comparativo,% variación
Ene,4362,4278,"2,0 %"
Feb,4477,4340,"3,2 %"
Mar,4489,4499,"-0,2 %"
Abr,4536,4557,"-0,5 %"
May,4654,4662,"-0,2 %"
Jun,4699,4820,"-2,5 %"
Jul,4686,4942,"-5,2 %"
Ago,4132,4964,"-16,8 %"
Sep,4037,4861,"-17,0 %"
Oct,3805,4608,"-17,4 %"
Nov,3682,4448,"-17,2 %"
Dic,3681,4375,"-15,9 %"
