Mes,P. analizado,P. comparativo,% variación
Ene,"1,7","1,7","1,9 %"
Feb,"1,7","1,7","1,8 %"
Mar,"1,8","1,7","1,6 %"
Abr,"1,7","1,7","-0,9 %"
May,"1,7","1,7","-0,9 %"
Jun,"1,8","1,7","1,1 %"
Jul,"1,8","1,8","0,4 %"
Ago,"1,7","1,7","0,6 %"
Sep,"1,7","1,7","0,8 %"
Oct,"1,7","1,7","0,5 %"
Nov,"1,7","1,7","0,5 %"
Dic,"1,7","1,7","-1,6 %"
