Mes,% variación,P. analizado,P. comparativo
Ene,"3,6 %",21995,21239
Feb,"3,3 %",22477,21768
Mar,"-0,4 %",22495,22581
Abr,"-0,3 %",22654,22714
May,"0,2 %",23323,23273
Jun,"-2,8 %",23497,24178
Jul,"-5,2 %",23439,24714
Ago,"-17,0 %",20582,24807
Sep,"-17,3 %",20087,24284
Oct,"-17,5 %",19006,23029
Nov,"-17,7 %",18397,22346
Dic,"-16,3 %",18422,22004
